0,1,2,3,4,5,6,7,8,9,10,11,12,13
,Tarifa Ofertas Semana 09,,Válida del 01 de Marzo al 06 de Marzo del 2021,,,,,I.V.A. no Incluido,0.1,0.15,0.2,,
Código,Sección,Producto,€/Kg. o €/Unidad,+ 5 kgs. o piezas (aplicado 10% dto.),+ 10 kgs. o piezas (aplicado 15% dto.),+ 25 kgs. o piezas (aplicado 20% dto.),Tipo I.V.A. aplicable,Origen,Origen,Origen,Origen,Su Pedido,
,,¡¡¡Productos Recomendados!!!,,,,,,,,,,,
3060,,Aguacate Lamb Hass local,3.89,3.5010000000000003,3.3065,-,0.04,Málaga,,,,,
1520,,Aguacate Pinkerton BIO,4.69,4.221,3.9865000000000004,-,0.04,Granada,,,,,
1369,,Aguacate Reed BIO (piezas grandes),4.89,4.401,4.156499999999999,-,0.04,Granada,,,,,
3034,,Aguacate Reed local,3.98,3.582,3.383,-,0.04,Granada,,,,,
5197,,Aguacate Reed local (con defectos en la piel),2.98,2.682,2.533,2.384,0.04,Granada,,,,,
3365,Frutas,Aguacate Torrox-24 local,3.89,3.5010000000000003,3.3065,-,0.04,Granada,,,,,
6117,,Algarroba BIO de la Alpujarra al natural en vaina (nueva cosecha) (env. 400 grs.) F.E. (fruta de la estación),0.98,Precio por bolsa de 400 grs.,,,0.04,Granada,,,,,
6117,,Algarroba BIO de la Alpujarra al natural en vaina (nueva cosecha) F.E. (fruta de la estación),1.98,1.782,1.683,1.584,0.04,Granada,,,,,
3012,,Caña de azúcar local (fruto de la estación),1.29,1.161,1.0965,-,0.04,Málaga,,,,,
5051,,Caña de azúcar local negra (por fuera). F.E. Fruto de la estación,1.49,1.341,1.2665,-,0.04,Granada,,,,,
3241,,Castaña local de alta montaña (1ª calidad),6.49,-,-,-,0.04,Nacional,,,,,
1178-2004- 6065- 2214,,Chirimoya BIO/RECONVERSIÓN producción propia (Fino de Jete/Campas) F.E. (fruta de la estación),4.39,3.9509999999999996,3.7314999999999996,3.5119999999999996,0.04,Granada,,,,,
